customer_id,customer_name,segment,country,city,state,postal_code,region,last_updated
C-1083,Liam Nguyen,Corporate,United States,Fairfield,Connecticut,14843.0,East,2024-01-01
C-1084,Xena Sullivan,,United States,Chicago,Illinois,34832.0,Central,2024-01-01
C-1085,Dana Petrov,Consumer,United States,Atlanta,Georgia,96287.0,South,2024-01-01
C-1086,Rosa Ahmadi,Home Office,United States,Henderson,Kentucky,50341.0,South,2024-01-01
C-1087,Karin Liu,Home Office,United States,Philadelphia,Pennsylvania,93358.0,East,2024-01-01
C-1088,Liam Ortiz,Consumer,United States,Newark,New Jersey,11868.0,East,2024-01-01
C-1089,Noah Haidari,Consumer,United States,Columbus,Ohio,21073.0,Central,2024-01-01
C-1090,Tara Tanaka,Home Office,United States,Monroe,Louisiana,48411.0,South,2024-01-01
C-1091,Farid Haidari,Corporate,United States,Minneapolis,Minnesota,68435.0,Central,2024-01-01
C-1092,Liam Novak,Home Office,United States,Columbus,Ohio,52406.0,Central,2024-01-01
C-1093,Carlos Farouk,Consumer,United States,New York City,New York,56738.0,East,2024-01-01
C-1094,Karin Ahmadi,Consumer,United States,New York City,New York,72212.0,East,2024-01-01
C-1095,Hiro Sullivan,Consumer,United States,Seattle,Washington,21908.0,West,2024-01-01
C-1096,Elena Ahmadi,Home Office,United States,Oakland,California,15461.0,West,2024-01-01
C-1097,Jamal Farouk,Home Office,United States,Tampa,Florida,40514.0,South,2024-01-01
C-1098,Quinn Popov,Home Office,United States,Houston,Texas,88192.0,Central,2024-01-01
C-1099,Xena Rao,Consumer,United States,Monroe,Louisiana,47247.0,South,2024-01-01
C-1100,Adrian Sullivan,Home Office,United States,New York City,New York,66261.0,East,2024-01-01
C-1101,Adrian Okafor,Home Office,United States,New York City,New York,99508.0,East,2024-01-01
C-1102,Alice Ortiz,Consumer,United States,New York City,New York,93508.0,East,2024-01-01
C-1103,Mona Petrov,Home Office,United States,Oakland,California,16655.0,West,2024-01-01
C-1104,Vera Tanaka,Corporate,United States,Houston,Texas,44575.0,Central,2024-01-01
C-1105,Zoe Reyes,Home Office,United States,Minneapolis,Minnesota,75925.0,Central,2024-01-01
C-1106,Carla Rao,Corporate,United States,Houston,Texas,19758.0,Central,2024-01-01
C-1107,Xena Liu,Consumer,United States,Seattle,Washington,95187.0,West,2024-01-01
C-1108,Bianca Ahmadi,Consumer,United States,Henderson,Kentucky,72784.0,South,2024-01-01
C-1109,Tara Liu,Consumer,United States,Oakland,California,88604.0,West,2024-01-01
C-1110,Ines Farouk,Home Office,United States,Fairfield,Connecticut,84417.0,East,2024-01-01
C-1111,Priya Ortiz,Corporate,United States,New York City,New York,45228.0,East,2024-01-01
C-1112,Vera Rao,Corporate,United States,Green Bay,Wisconsin,77703.0,Central,2024-01-01
C-1113,Olga Petrov,Consumer,United States,Reno,Nevada,,West,2024-01-01
C-1114,Carla Rao,Consumer,United States,Fairfield,Connecticut,47956.0,East,2024-01-01
C-1115,Adrian Sullivan,Corporate,United States,Tampa,Florida,45213.0,South,2024-01-01
C-1116,Dana Liu,Consumer,United States,Atlanta,Georgia,86214.0,South,2024-01-01
C-1117,Xena Sullivan,Corporate,United States,Green Bay,Wisconsin,57127.0,Central,2024-01-01
C-1118,Carlos Kim,Home Office,United States,Fairfield,Connecticut,57865.0,East,2024-01-01
C-1119,Carlos Rao,Corporate,United States,Newark,New Jersey,13255.0,East,2024-01-01
C-1120,Priya Petrov,Corporate,United States,New York City,New York,49577.0,East,2024-01-01
C-1121,Liam Ahmadi,Corporate,United States,Newark,New Jersey,25847.0,East,2024-01-01
C-1122,Karin Novak,Corporate,United States,Oakland,California,25734.0,West,2024-01-01
C-1123,Carlos Farouk,Corporate,United States,New York City,New York,58787.0,East,2024-01-01
C-1124,Mona Okafor,Consumer,United States,Minneapolis,Minnesota,57278.0,Central,2024-01-01
C-1125,Bianca Ortiz,Corporate,United States,Monroe,Louisiana,23331.0,South,2024-01-01
C-1126,Umar Popov,Consumer,United States,Columbus,Ohio,44829.0,Central,2024-01-01
C-1127,Grace Byrne,Corporate,United States,Monroe,Louisiana,13802.0,South,2024-01-01
C-1128,Xena Reyes,Consumer,United States,Atlanta,Georgia,63855.0,South,2024-01-01
C-1129,Umar Farouk,Corporate,United States,Atlanta,Georgia,16419.0,South,2024-01-01
C-1130,Priya Clark,Corporate,United States,Philadelphia,Pennsylvania,46929.0,East,2024-01-01
C-1131,Xena Silva,Corporate,United States,Phoenix,Arizona,,West,2024-01-01
C-1132,Priya Diaz,Home Office,United States,Fairfield,Connecticut,61690.0,East,2024-01-01
C-1133,Umar Haidari,Consumer,United States,Green Bay,Wisconsin,37246.0,Central,2024-01-01
C-1134,Olga Novak,Corporate,United States,Atlanta,Georgia,66023.0,South,2024-01-01
C-1135,Hiro Reyes,Consumer,United States,Philadelphia,Pennsylvania,54820.0,East,2024-01-01
C-1136,Hiro Byrne,Corporate,United States,Columbus,Ohio,84660.0,Central,2024-01-01
C-1137,Xena Clark,Corporate,United States,New York City,New York,64248.0,East,2024-01-01
C-1138,Ines Novak,Consumer,United States,Newark,New Jersey,,East,2024-01-01
C-1139,Elena Sullivan,Home Office,United States,Phoenix,Arizona,92526.0,West,2024-01-01
C-1140,Ines Tanaka,Corporate,United States,New York City,New York,62396.0,East,2024-01-01
C-1141,Jamal Nguyen,Consumer,United States,Henderson,Kentucky,14226.0,South,2024-01-01
C-1142,Sam Rao,Consumer,United States,Henderson,Kentucky,19586.0,South,2024-01-01
C-1143,Olga Tanaka,Consumer,United States,Henderson,Kentucky,39333.0,South,2024-01-01
C-1144,Quinn Kim,Home Office,United States,Philadelphia,Pennsylvania,94849.0,East,2024-01-01
C-1145,Rosa Ortiz,Consumer,United States,Tampa,Florida,26469.0,South,2024-01-01
C-1146,Umar Farouk,Consumer,United States,New York City,New York,92113.0,East,2024-01-01
C-1147,Wes Kim,Consumer,United States,Reno,Nevada,19221.0,West,2024-01-01
C-1148,Mona Silva,Consumer,United States,Seattle,Washington,88782.0,West,2024-01-01
C-1149,Rosa Farouk,,United States,Chicago,Illinois,46517.0,Central,2024-01-01
C-1006,Sam Farouk,Home Office,United States,New York City,New York,99391.0,East,2024-01-01
C-1003,Noah Ortiz,Home Office,United States,Houston,Texas,26226.0,Central,2024-01-01
C-1113,Olga Petrov,Consumer,United States,Reno,Nevada,,West,2024-01-01
